npi,specialty_code
1003853029,16
1003853193,20
1003853730,14
1003853755,30
1003854738,1
1003854738,66
1003855289,20
1003855545,36
1003855826,66
1003855875,40
1003855875,66
1003855958,30
1003856097,5
1003856402,16
1003856675,30
1003856931,66
1003857020,66
1003857129,30
1003857327,8
1003857327,66
1003857343,5
1003857350,5
1003857475,5
1003857525,66
1003857715,13
1003858283,33
1003858481,41
1003858697,5
1003859414,8
1003859448,66
1003859513,30
1003859661,41
1003859661,45
1003859802,4
1003859802,7
1003860032,5
1003860073,16
1003860248,5
1003860479,5
1003860586,8
1003860867,30
1003860909,41
1003860909,66
1003861139,36
1003861576,18
1003861626,40
1003862350,4
1003862376,41
1003863069,22
1003863317,41
1003863838,36
1003864059,18
1003864737,16
1003865197,22
1003865288,36
1003865593,4
1003865627,41
1003865775,66
1003865783,30
1003865841,7
1003865866,30
1003866518,2
1003867276,30
1003867359,5
1003867912,66
1003867987,5
1003868027,66
1003868142,8
1003868217,1
1003868217,36
1003868308,30
1003868449,5
1003868746,40
1003868753,30
1003868894,30
1003870080,34
1003870486,2
1003870676,41
1003871161,41
1003871161,66
1003871724,66
1003871914,10
1003871914,41
1003872169,41
1003872599,5
1003872805,5
1003872870,77
1003872946,5
1003873035,8
1003873522,1
1003873522,5
1003873605,16
1003873720,34
1003873795,30
1003874124,3
1003874504,6
1003874504,41
1003875816,4
1003875923,8
1003876038,22
1003876038,66
1003876418,6
1003876418,66
1003876590,5
1003877002,16
1003877564,18
1003879438,41
1003879685,41
1003879826,41
1003880261,18
1003881665,1
1003881830,30
1003881889,41
1003881889,45
1003882275,47
1003883133,1
1003883562,41
1003883562,68
1003884552,1
1003885302,41
1003885831,5
1003885922,10
1003885989,41
1003886029,1
1003886029,20
1003886490,2
1003886557,22
1003886698,68
1003886698,78
1003887456,16
1003887993,40
1003888074,1
1003888074,68
1003888132,35
1003888132,40
1003888991,30
1003889247,1
1003889247,18
1003889528,5
1003889932,30
1003890559,18
1003890682,16
1003890872,66
1003891011,41
1003891334,1
1003892282,41
1003892316,13
1003892894,41
1003892993,41
1003893223,10
1003893223,41
1003893348,41
1003893801,41
1003894213,6
1003894569,30
1003895137,66
1003895822,5
1003896366,40
1003896549,5
1003896945,66
1003897117,66
1003897349,13
1003897463,16
1003897463,47
1003897463,16
1003898792,40
1003899279,41
1003899642,2
1003900366,41
1003900614,41
1003900960,41
1003901554,30
1003902081,2
1003902081,6
